23.04.2019/08:38 SW ver:OXY10v3_33
Header Ch-1
Description: 
IDENTIFICATION
PHIboard number   : v1215648
PM number         : 00000000
Serial number     : S DLK 0001 000014   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 081
Ref LED amplitude : 97404
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 59.11 at 020.0°C amp 041900
100.00%a.s.phase 2: 28.64 at 020.0°C amp 020100
Date   (ddmmyy)   : 081216
Pressure (mBar)   : 1034

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1034
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/h;Oxy/% oxy sat.;Phase/°;Amp;Temp/°C
24.04.2019;01:23:09;16.75;6.932;41.300;12413.000;20.000
24.04.2019;01:28:10;16.83;6.893;41.370;12443.000;20.000
24.04.2019;01:33:10;16.92;6.941;41.290;12385.000;20.000
24.04.2019;01:38:09;17.00;6.838;41.460;12446.000;20.000
24.04.2019;01:43:09;17.08;7.092;41.050;12372.000;20.000
24.04.2019;01:48:10;17.17;6.880;41.390;12475.000;20.000
24.04.2019;01:53:10;17.25;6.981;41.230;12427.000;20.000
24.04.2019;01:58:10;17.33;6.756;41.590;12460.000;20.000
24.04.2019;02:03:10;17.42;6.955;41.270;12433.000;20.000
24.04.2019;02:08:09;17.50;6.813;41.500;12477.000;20.000
24.04.2019;02:13:10;17.58;6.922;41.320;12425.000;20.000
24.04.2019;02:18:10;17.67;6.884;41.380;12473.000;20.000
24.04.2019;02:23:10;17.75;6.997;41.200;12418.000;20.000
24.04.2019;02:28:09;17.83;6.893;41.370;12449.000;20.000
24.04.2019;02:33:09;17.92;6.865;41.410;12415.000;20.000
24.04.2019;02:38:09;18.00;6.861;41.420;12458.000;20.000
24.04.2019;02:43:09;18.08;6.890;41.370;12448.000;20.000
24.04.2019;02:48:09;18.17;6.943;41.290;12390.000;20.000
24.04.2019;02:53:10;18.25;6.911;41.340;12466.000;20.000
24.04.2019;02:58:10;18.33;7.016;41.170;12423.000;20.000
24.04.2019;03:03:09;18.42;6.932;41.310;12421.000;20.000
24.04.2019;03:08:09;18.50;6.999;41.200;12407.000;20.000
24.04.2019;03:13:10;18.58;6.798;41.520;12477.000;20.000
24.04.2019;03:18:10;18.67;6.987;41.220;12417.000;20.000
24.04.2019;03:23:09;18.75;6.867;41.410;12460.000;20.000
24.04.2019;03:28:10;18.83;6.943;41.290;12418.000;20.000
24.04.2019;03:33:10;18.92;6.838;41.460;12448.000;20.000
24.04.2019;03:38:09;19.00;6.907;41.350;12426.000;20.000
24.04.2019;03:43:10;19.08;6.886;41.380;12472.000;20.000
24.04.2019;03:48:09;19.17;6.970;41.240;12434.000;20.000
24.04.2019;03:53:10;19.25;6.750;41.600;12479.000;20.000
24.04.2019;03:58:09;19.33;6.909;41.340;12462.000;20.000
24.04.2019;04:03:10;19.42;6.748;41.600;12526.000;20.000
24.04.2019;04:08:09;19.50;6.830;41.470;12484.000;20.000
24.04.2019;04:13:10;19.58;6.752;41.600;12533.000;20.000
24.04.2019;04:18:10;19.67;6.754;41.590;12487.000;20.000
24.04.2019;04:23:10;19.75;6.733;41.630;12533.000;20.000
24.04.2019;04:28:09;19.83;6.863;41.410;12457.000;20.000
24.04.2019;04:33:09;19.92;6.645;41.770;12573.000;20.000
24.04.2019;04:38:09;20.00;6.784;41.540;12483.000;20.000
24.04.2019;04:43:09;20.08;6.566;41.900;12571.000;20.000
24.04.2019;04:48:10;20.17;6.790;41.530;12493.000;20.000
24.04.2019;04:53:10;20.25;6.708;41.670;12579.000;20.000
24.04.2019;04:58:09;20.33;6.876;41.390;12489.000;20.000
24.04.2019;05:03:10;20.42;6.758;41.590;12560.000;20.000
24.04.2019;05:08:10;20.50;6.863;41.410;12497.000;20.000
24.04.2019;05:13:10;20.58;6.589;41.870;12575.000;20.000
24.04.2019;05:18:10;20.67;6.886;41.380;12486.000;20.000
24.04.2019;05:23:10;20.75;6.662;41.740;12592.000;20.000
24.04.2019;05:28:09;20.83;6.901;41.350;12458.000;20.000
24.04.2019;05:33:09;20.92;6.679;41.720;12575.000;20.000
24.04.2019;05:38:09;21.00;6.788;41.540;12505.000;20.000
24.04.2019;05:43:10;21.08;6.616;41.820;12579.000;20.000
24.04.2019;05:48:10;21.17;6.765;41.570;12470.000;20.000
24.04.2019;05:53:09;21.25;6.612;41.830;12592.000;20.000
24.04.2019;05:58:09;21.33;6.790;41.530;12473.000;20.000
24.04.2019;06:03:09;21.42;6.635;41.790;12500.000;20.000
24.04.2019;06:08:09;21.50;6.763;41.580;12489.000;20.000
24.04.2019;06:13:10;21.58;6.555;41.920;12580.000;20.000
24.04.2019;06:18:10;21.67;6.813;41.500;12505.000;20.000
24.04.2019;06:23:09;21.75;6.595;41.850;12576.000;20.000
24.04.2019;06:28:09;21.83;6.811;41.500;12503.000;20.000
24.04.2019;06:33:10;21.92;6.652;41.760;12576.000;20.000
24.04.2019;06:38:09;22.00;6.740;41.610;12509.000;20.000
24.04.2019;06:43:09;22.08;6.662;41.740;12581.000;20.000
24.04.2019;06:48:10;22.17;6.761;41.580;12499.000;20.000
24.04.2019;06:53:10;22.25;6.582;41.870;12563.000;20.000
24.04.2019;06:58:09;22.33;6.761;41.580;12515.000;20.000
24.04.2019;07:03:10;22.42;6.618;41.820;12567.000;20.000
24.04.2019;07:08:10;22.50;6.740;41.610;12538.000;20.000
24.04.2019;07:13:09;22.58;6.549;41.930;12635.000;20.000
24.04.2019;07:18:10;22.67;6.735;41.620;12525.000;20.000
24.04.2019;07:23:09;22.75;6.520;41.980;12628.000;20.000
24.04.2019;07:28:10;22.83;6.777;41.550;12511.000;20.000
24.04.2019;07:33:09;22.92;6.656;41.750;12551.000;20.000
24.04.2019;07:38:10;23.00;6.809;41.500;12481.000;20.000
24.04.2019;07:43:09;23.08;6.687;41.700;12599.000;20.000
24.04.2019;07:48:09;23.17;6.830;41.470;12505.000;20.000
24.04.2019;07:53:09;23.25;6.570;41.890;12627.000;20.000
24.04.2019;07:58:09;23.33;6.817;41.490;12476.000;20.000
24.04.2019;08:03:09;23.42;6.580;41.880;12614.000;20.000
24.04.2019;08:08:09;23.50;6.742;41.610;12489.000;20.000
24.04.2019;08:13:10;23.58;6.624;41.800;12583.000;20.000
24.04.2019;08:18:10;23.67;6.752;41.600;12493.000;20.000
24.04.2019;08:23:10;23.75;6.641;41.780;12597.000;20.000
24.04.2019;08:28:09;23.83;6.777;41.560;12507.000;20.000
24.04.2019;08:33:09;23.92;6.541;41.950;12587.000;20.000
24.04.2019;08:38:09;24.00;6.805;41.510;12505.000;20.000
24.04.2019;08:43:10;24.08;6.536;41.950;12639.000;20.000
24.04.2019;08:48:10;24.17;6.725;41.640;12495.000;20.000
24.04.2019;08:53:09;24.25;6.578;41.880;12609.000;20.000
24.04.2019;08:58:10;24.33;6.675;41.720;12557.000;20.000
24.04.2019;09:03:10;24.42;6.708;41.670;12547.000;20.000
24.04.2019;09:08:10;24.50;6.710;41.660;12556.000;20.000
24.04.2019;09:13:10;24.58;6.744;41.610;12523.000;20.000
24.04.2019;09:18:09;24.67;6.652;41.760;12560.000;20.000
24.04.2019;09:23:10;24.75;6.811;41.500;12462.000;20.000
24.04.2019;09:28:09;24.83;6.756;41.590;12541.000;20.000
24.04.2019;09:33:10;24.92;6.748;41.600;12507.000;20.000
24.04.2019;09:38:10;25.00;6.631;41.800;12568.000;20.000
24.04.2019;09:43:09;25.08;6.698;41.680;12521.000;20.000
24.04.2019;09:48:10;25.17;6.574;41.890;12664.000;20.000
24.04.2019;09:53:09;25.25;6.758;41.580;12513.000;20.000
24.04.2019;09:58:09;25.33;6.574;41.890;12623.000;20.000
24.04.2019;10:03:10;25.42;6.817;41.490;12501.000;20.000
24.04.2019;10:08:09;25.50;6.587;41.870;12591.000;20.000
24.04.2019;10:13:09;25.58;6.735;41.620;12501.000;20.000
24.04.2019;10:18:10;25.67;6.559;41.910;12635.000;20.000
24.04.2019;10:23:09;25.75;6.612;41.830;12556.000;20.000
24.04.2019;10:28:09;25.83;6.499;42.020;12622.000;20.000
24.04.2019;10:33:10;25.92;6.664;41.740;12527.000;20.000
24.04.2019;10:38:09;26.00;6.614;41.820;12611.000;20.000
24.04.2019;10:43:09;26.08;6.566;41.900;12587.000;20.000
24.04.2019;10:48:10;26.17;6.624;41.800;12543.000;20.000
24.04.2019;10:53:10;26.25;6.551;41.930;12580.000;20.000
24.04.2019;10:58:09;26.33;6.662;41.740;12569.000;20.000
24.04.2019;11:03:09;26.42;6.595;41.850;12644.000;20.000
24.04.2019;11:08:09;26.50;6.696;41.690;12537.000;20.000
24.04.2019;11:13:10;26.58;6.474;42.060;12643.000;20.000
24.04.2019;11:18:10;26.67;6.618;41.810;12570.000;20.000
24.04.2019;11:23:09;26.75;6.415;42.160;12690.000;20.000
24.04.2019;11:28:10;26.83;6.647;41.770;12572.000;20.000
24.04.2019;11:33:09;26.92;6.482;42.040;12668.000;20.000
24.04.2019;11:38:09;27.00;6.608;41.830;12558.000;20.000
24.04.2019;11:43:09;27.08;6.551;41.930;12607.000;20.000
24.04.2019;11:48:10;27.17;6.650;41.760;12586.000;20.000
24.04.2019;11:53:10;27.25;6.568;41.900;12638.000;20.000
24.04.2019;11:58:10;27.33;6.656;41.750;12563.000;20.000
24.04.2019;12:03:10;27.42;6.729;41.630;12559.000;20.000
24.04.2019;12:08:09;27.50;6.541;41.940;12670.000;20.000
24.04.2019;12:13:10;27.58;6.643;41.780;12591.000;20.000
